citation,topic,habitat_type,habitat_subtype,habitat_depth,assemblage_type,species_name_scientific,species_name_common,geographic_region,ecological_fitness_metric,climate_effect,mpa_effect,analytical method,name_of_mpa,Coordinates,Latitude,Longitude,magnitude,mechanism
"Dolorosa, Roger Gasper, et al. ""Impact of Super Typhoon Odette on the Reefs of Northeastern Palawan, Philippines."" Journal of Fisheries & Environment 47.1 (2023).",assemblage,tropical,coral_reef,,na,na,butterfly fishes,central_indo_pacific,richness,mortality,not_assessed,inside/outside study,"Hart Reef MPA, Baby Hart Reef, Dalarat MPA, Salvacion MPA, Black Rock Reef MPA","10.736286463796985, 119.77795512534351",10.73628646,119.7779551,,
"Dolorosa, Roger Gasper, et al. ""Impact of Super Typhoon Odette on the Reefs of Northeastern Palawan, Philippines."" Journal of Fisheries & Environment 47.1 (2023).",assemblage,tropical,coral_reef,,macroinvertebrates,na,na,central_indo_pacific,abundance,mortality,no_effect,inside/outside study,"Hart Reef MPA, Baby Hart Reef, Dalarat MPA, Salvacion MPA, Black Rock Reef MPA","10.736286463796985, 119.77795512534351",10.73628646,119.7779551,"small giant clams did better in the MPA, but overall little difference for macroinvertebrates",
"Duncan, Murray I., et al. ""Exploitation may influence the climate resilience of fish populations through removing high performance metabolic phenotypes."" Scientific reports 9.1 (2019): 11437.",species,na,na,,na,Chrysoblephus laticeps,red roman,temperate_southern_africa,metabolic_rate,mortality,positive_population,experiment,Tsitsikamma National Park (TNP) Marine Protected Area (MPA),"-34.09036898540999, 24.013061839531865",-34.09036899,24.01306184,,
"Eisaguirre, Jacob H., et al. ""Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics."" Ecology 101.5 (2020): e02993.",community,temperate,kelp_forest,,na,na,CA sheephead,temperate_northern_pacific,density,mortality,positive_population,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,"""Predictions from the fitted model suggest effects of CA sheephead abundance and size on purple urchin densities are stronger in MPAs""",
"Eisaguirre, Jacob H., et al. ""Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics."" Ecology 101.5 (2020): e02993.",community,temperate,kelp_forest,,na,na,CA sheephead,temperate_northern_pacific,total_length,body_size,positive_population,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,,
"Eisaguirre, Jacob H., et al. ""Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics."" Ecology 101.5 (2020): e02993.",community,temperate,kelp_forest,,na,na,CA spiny lobster,temperate_northern_pacific,density,mortality,positive_population,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,slightly higher in MPA but doesn't say if significant,
"Eisaguirre, Jacob H., et al. ""Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics."" Ecology 101.5 (2020): e02993.",community,temperate,kelp_forest,,na,na,purple sea urchin,temperate_northern_pacific,density,mortality,positive_population,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,,
"Eisaguirre, Jacob H., et al. ""Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics."" Ecology 101.5 (2020): e02993.",community,temperate,kelp_forest,,na,na,giant kelp,temperate_northern_pacific,density,mortality,positive_population,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,,
"Eisaguirre, Jacob H., et al. ""Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics."" Ecology 101.5 (2020): e02993.",community,temperate,kelp_forest,,na,na,understory kelp,temperate_northern_pacific,density,mortality,positive_population,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,,
"Eisaguirre, Jacob H., et al. ""Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics."" Ecology 101.5 (2020): e02993.",community,temperate,kelp_forest,,na,na,sea star,temperate_northern_pacific,density,mortality,no_effect,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,,
"Emslie, Michael J., et al. ""Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park."" Current Biology 25.8 (2015): 983-992.",species,tropical,coral_reef,,na,"Plectropomus spp., Variola spp.",coral trout,central_indo_pacific,density,mortality,positive_population,inside/outside study,Great Barrier Reef Marine Park,"-18.301807040272795, 147.69485239520947",-18.30180704,147.6948524,,
"Emslie, Michael J., et al. ""Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park."" Current Biology 25.8 (2015): 983-992.",species,tropical,coral_reef,,na,"Plectropomus spp., Variola spp.",coral trout,central_indo_pacific,biomass,mortality,positive_population,inside/outside study,Great Barrier Reef Marine Park,"-18.301807040272795, 147.69485239520947",-18.30180704,147.6948524,,
"Emslie, Michael J., et al. ""Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park."" Current Biology 25.8 (2015): 983-992.",species,tropical,coral_reef,,na,"Plectropomus spp., Variola spp.",coral trout,central_indo_pacific,body_size,mortality,positive_population,inside/outside study,Great Barrier Reef Marine Park,"-18.301807040272795, 147.69485239520947",-18.30180704,147.6948524,,
"Emslie, Michael J., et al. ""Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park."" Current Biology 25.8 (2015): 983-992.",species,tropical,coral_reef,,all_fish,na,na,central_indo_pacific,community_composition,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-18.301807040272795, 147.69485239520947",-18.30180704,147.6948524,,
"Emslie, Michael J., et al. ""Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park."" Current Biology 25.8 (2015): 983-992.",species,tropical,coral_reef,,benthic,na,na,central_indo_pacific,community_composition,habitat_formation,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-18.301807040272795, 147.69485239520947",-18.30180704,147.6948524,,
"Emslie, Michael J., et al. ""Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park."" Current Biology 25.8 (2015): 983-992.",species,tropical,coral_reef,,non-target_fish,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-18.301807040272795, 147.69485239520947",-18.30180704,147.6948524,,
"Emslie, Michael J., et al. ""Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park."" Current Biology 25.8 (2015): 983-992.",species,tropical,coral_reef,,coral,na,na,central_indo_pacific,coral_cover,habitat_formation,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-18.301807040272795, 147.69485239520947",-18.30180704,147.6948524,,
"Emslie, Michael J., et al. ""Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park."" Current Biology 25.8 (2015): 983-992.",species,tropical,coral_reef,,all_fish,na,na,central_indo_pacific,richness,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-18.301807040272795, 147.69485239520947",-18.30180704,147.6948524,,
"Freedman, R. M., et al. ""Marine protected areas do not prevent marine heatwave-induced fish community structure changes in a temperate transition zone."" Scientific Reports 10.1 (2020): 21081.",community,temperate,kelp_forest,,warm-water_target_fish,na,na,temperate_northern_pacific,density,mortality,no_effect,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,"Additionally, in our case, ecosystem recovery did not appear to be rapid; densities inside and outside MPAs remained altered and overall warm-water species abundance did not drop to pre-heatwave values by 2016. It is important to note that using an acute event may not be indicative of long-term change, but it appears that MPAs are unlikely to act as a lone solution to mitigate the whole community structure shifts due to climate change43.","Prior work has shown that single species recovery after an acute climate event can be enhanced within an MPA22, but our work suggests that MPAs do not appear to dampen the magnitude of community changes for either cool or warm-water species groups in our system."
"Freedman, R. M., et al. ""Marine protected areas do not prevent marine heatwave-induced fish community structure changes in a temperate transition zone."" Scientific Reports 10.1 (2020): 21081.",community,temperate,kelp_forest,,warm-water_non-target_fish,na,na,temperate_northern_pacific,density,mortality,no_effect,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,"The reason MPAs did not appear to mitigate marine heatwave impacts on community structure in our study may be that non-targeted species (i.e. fish species not targeted in fisheries) responded significantly to the marine heatwave while targeted species only displayed non-significant, muted responses.",
"Freedman, R. M., et al. ""Marine protected areas do not prevent marine heatwave-induced fish community structure changes in a temperate transition zone."" Scientific Reports 10.1 (2020): 21081.",community,temperate,kelp_forest,,cool-water_target_fish,na,na,temperate_northern_pacific,density,mortality,no_effect,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,The cool-water species group appeared less responsive overall to warm-water conditions.,
"Freedman, R. M., et al. ""Marine protected areas do not prevent marine heatwave-induced fish community structure changes in a temperate transition zone."" Scientific Reports 10.1 (2020): 21081.",community,temperate,kelp_forest,,cool-water_non-target_fish,na,na,temperate_northern_pacific,density,mortality,no_effect,inside/outside study,Channel Islands National Marine Sanctuary,"34.04048269039791, -119.97069471535997",34.04048269,-119.9706947,,
"Frid, Ori, et al. ""Marine protected areas' positive effect on fish biomass persists across the steep climatic gradient of the Mediterranean Sea."" Journal of Applied Ecology 60.4 (2023): 638-649.",assemblage,temperate,rocky_reef,,all_fish,na,na,temperate_northern_atlantic,biomass,mortality,no_effect,inside/outside study,Mediteranean (multiple sites),"38.80888948798501, 14.580213060363603",38.80888949,14.58021306,"Importantly, we found that the rate of decrease in fish biomass with temperature was similar between protected and fished sites.",
"Frid, Ori, et al. ""Marine protected areas' positive effect on fish biomass persists across the steep climatic gradient of the Mediterranean Sea."" Journal of Applied Ecology 60.4 (2023): 638-649.",assemblage,temperate,rocky_reef,,all_fish,na,na,temperate_northern_atlantic,climatic_affinity,mortality,no_effect,inside/outside study,Mediteranean (multiple sites),"38.80888948798501, 14.580213060363603",38.80888949,14.58021306,"community-level metric, no effect",
"Frid, Ori, et al. ""Effects of marine protected areas on fish communities in a hotspot of climate change and invasion."" Mediterranean Marine Science 23.1 (2022): 157-190.",assemblage,temperate,rocky_reef,,all_fish,na,na,temperate_northern_atlantic,biomass,mortality,positive_ecosystem,inside/outside study,Achziv MPA,"33.0482865317595, 35.100539757284004",33.04828653,35.10053976,,largest and oldest MPA in the study
"Frid, Ori, et al. ""Effects of marine protected areas on fish communities in a hotspot of climate change and invasion."" Mediterranean Marine Science 23.1 (2022): 157-190.",assemblage,temperate,rocky_reef,,target_fish,na,na,temperate_northern_atlantic,biomass,mortality,positive_ecosystem,inside/outside study,Achziv MPA,"33.0482865317595, 35.100539757284004",33.04828653,35.10053976,,
"Frid, Ori, et al. ""Effects of marine protected areas on fish communities in a hotspot of climate change and invasion."" Mediterranean Marine Science 23.1 (2022): 157-190.",assemblage,temperate,rocky_reef,,all_fish,na,na,temperate_northern_atlantic,body_size,body_size,positive_ecosystem,inside/outside study,Isreal (multiple sites),"32.073446141536394, 34.67068240292757",32.07344614,34.6706824,,
"Frid, Ori, et al. ""Effects of marine protected areas on fish communities in a hotspot of climate change and invasion."" Mediterranean Marine Science 23.1 (2022): 157-190.",assemblage,temperate,rocky_reef,,target_fish,na,na,temperate_northern_atlantic,biomass,mortality,positive_ecosystem,inside/outside study,Isreal (multiple sites),"32.073446141536394, 34.67068240292757",32.07344614,34.6706824,,
"Frid, Ori, et al. ""Effects of marine protected areas on fish communities in a hotspot of climate change and invasion."" Mediterranean Marine Science 23.1 (2022): 157-190.",species,temperate,rocky_reef,,na,"Mycteroperca rubra, Epinephelus  marginatus",grouper,temperate_northern_atlantic,abundance,mortality,positive_population,inside/outside study,Isreal (multiple sites),"32.073446141536394, 34.67068240292757",32.07344614,34.6706824,,
"Frid, Ori, et al. ""Effects of marine protected areas on fish communities in a hotspot of climate change and invasion."" Mediterranean Marine Science 23.1 (2022): 157-190.",species,temperate,rocky_reef,,na,"Mycteroperca rubra, Epinephelus  marginatus",grouper,temperate_northern_atlantic,body_size,body_size,positive_population,inside/outside study,Isreal (multiple sites),"32.073446141536394, 34.67068240292757",32.07344614,34.6706824,,
"Frid, Ori, et al. ""Effects of marine protected areas on fish communities in a hotspot of climate change and invasion."" Mediterranean Marine Science 23.1 (2022): 157-190.",assemblage,temperate,rocky_reef,,exotic_species,na,na,temperate_northern_atlantic,biomass,movement_range,no_effect,inside/outside study,Isreal (multiple sites),"32.073446141536394, 34.67068240292757",32.07344614,34.6706824,"""Exotic species biomass was significantly higher within Achziv than in unprotected fished areas (112% higher). However, for the other MPAs, exotic biomass was similar within and outside the MPAs (appendix Fig. A2 and Table A7). No interactions were found between time and protection for exotics in all MPAs.""",
"Giakoumi, Sylvaine, et al. ""Exploring the relationships between marine protected areas and invasive fish in the world's most invaded sea."" Ecological Applications 29.1 (2019): e01809.",assemblage,temperate,rocky_reef,,alien_and_range_expanding_fishes,na,na,temperate_northern_atlantic,biomass,movement_range,negative_ecosystem,inside/outside study,South and Eastern Mediterranean MPAs,"44.01699002941236, 13.279326609294008",44.01699003,13.27932661,alien and native range-expanding fish biomass was more than 50% of the total fish biomass in the MPAs. The biomass of alien and native range-expanding fishes was higher in the MPAs than in reference sites. Nuances of which species are the drivers of this are different in each MPA,Suez Canal is the source of alien species invasion
"Graham, Nicholas AJ, et al. ""Lag effects in the impacts of mass coral bleaching on coral reef fish, fisheries, and ecosystems."" Conservation biology 21.5 (2007): 1291-1300.",assemblage,tropical,coral_reef,,benthic,na,na,western_indo_pacific,community_structure,habitat_formation,no_effect,inside/outside study,"Sainte Anne Marine National Park, Cousin Island Special Reserve","-4.517412683466146, 55.59078711925603",-4.517412683,55.59078712,,
"Graham, Nicholas AJ, et al. ""Lag effects in the impacts of mass coral bleaching on coral reef fish, fisheries, and ecosystems."" Conservation biology 21.5 (2007): 1291-1300.",assemblage,tropical,coral_reef,,all_fish,na,na,western_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Sainte Anne Marine National Park, Cousin Island Special Reserve","-4.517412683466146, 55.59078711925603",-4.517412683,55.59078712,,
"Graham, Nicholas AJ, et al. ""Lag effects in the impacts of mass coral bleaching on coral reef fish, fisheries, and ecosystems."" Conservation biology 21.5 (2007): 1291-1300.",assemblage,tropical,coral_reef,,all_fish,na,na,western_indo_pacific,size_structure,reproduction,no_effect,inside/outside study,"Sainte Anne Marine National Park, Cousin Island Special Reserve","-4.517412683466146, 55.59078711925603",-4.517412683,55.59078712,fishes lost to natural mortality and fishing are not being replaced by juvenilles,"""Based on our results an impending recruitment failure to reef-fishery size classes is likely in the Seychelles following a major coral bleaching event."""
"Graham, Nicholas AJ, et al. ""Lag effects in the impacts of mass coral bleaching on coral reef fish, fisheries, and ecosystems."" Conservation biology 21.5 (2007): 1291-1300.",assemblage,tropical,coral_reef,,piscivorous_fish,na,na,western_indo_pacific,biomass,mortality,negative_ecosystem,inside/outside study,"Sainte Anne Marine National Park, Cousin Island Special Reserve","-4.517412683466146, 55.59078711925603",-4.517412683,55.59078712,,
"Graham, Nicholas AJ, et al. ""Lag effects in the impacts of mass coral bleaching on coral reef fish, fisheries, and ecosystems."" Conservation biology 21.5 (2007): 1291-1300.",assemblage,tropical,coral_reef,,herbivorous_fish,na,na,western_indo_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Sainte Anne Marine National Park, Cousin Island Special Reserve","-4.517412683466146, 55.59078711925603",-4.517412683,55.59078712,,
"Graham, Nicholas AJ, et al. ""Lag effects in the impacts of mass coral bleaching on coral reef fish, fisheries, and ecosystems."" Conservation biology 21.5 (2007): 1291-1300.",assemblage,tropical,coral_reef,,corallivores,na,na,western_indo_pacific,abundance,mortality,negative_ecosystem,inside/outside study,"Sainte Anne Marine National Park, Cousin Island Special Reserve","-4.517412683466146, 55.59078711925603",-4.517412683,55.59078712,"""decline associated with similar pattern of decline in the fishes preferred corals""",
"Graham, Nicholas AJ, et al. ""Lag effects in the impacts of mass coral bleaching on coral reef fish, fisheries, and ecosystems."" Conservation biology 21.5 (2007): 1291-1300.",assemblage,tropical,coral_reef,,planktivores,na,na,western_indo_pacific,abundance,mortality,negative_ecosystem,inside/outside study,"Sainte Anne Marine National Park, Cousin Island Special Reserve","-4.517412683466146, 55.59078711925603",-4.517412683,55.59078712,"""decline associated with similar pattern of decline in the fishes preferred corals""",
"Graham, Nicholas AJ, et al. ""Lag effects in the impacts of mass coral bleaching on coral reef fish, fisheries, and ecosystems."" Conservation biology 21.5 (2007): 1291-1300.",assemblage,tropical,coral_reef,,target_fish,na,na,western_indo_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Sainte Anne Marine National Park, Cousin Island Special Reserve","-4.517412683466146, 55.59078711925603",-4.517412683,55.59078712,,
"Graham, Nicholas AJ, et al. ""Changing role of coral reef marine reserves in a warming climate."" Nature Communications 11.1 (2020): 2000.",assemblage,tropical,coral_reef,,herbivorous_fish,na,na,western_indo_pacific,biomass,mortality,positive_ecosystem,inside/outside study,Seychelles (multiple sites),"-4.493383151840551, 55.593557213680796",-4.493383152,55.59355721,"""Positive fish biomass effects persisted, but the groups of fish benefiting from marine reserves profoundly changed, with low trophic level herbivores dominating the responses.""",
"Graham, Nicholas AJ, et al. ""Changing role of coral reef marine reserves in a warming climate."" Nature Communications 11.1 (2020): 2000.",assemblage,tropical,coral_reef,,all_fish,na,na,western_indo_pacific,richness,mortality,positive_ecosystem,inside/outside study,Seychelles (multiple sites),"-4.493383151840551, 55.593557213680796",-4.493383152,55.59355721,"""reserve effects were greatly dimished after coral mortality""",
"Graham, Nicholas AJ, et al. ""Changing role of coral reef marine reserves in a warming climate."" Nature Communications 11.1 (2020): 2000.",assemblage,tropical,coral_reef,,all_fish,na,na,western_indo_pacific,biomass,mortality,positive_ecosystem,inside/outside study,Seychelles (multiple sites),"-4.493383151840551, 55.593557213680796",-4.493383152,55.59355721,"""Positive fish biomass effects persisted, but the groups of fish benefiting from marine reserves profoundly changed, with low trophic level herbivores dominating the responses.""",
"Graham, Nicholas AJ, et al. ""Changing role of coral reef marine reserves in a warming climate."" Nature Communications 11.1 (2020): 2000.",assemblage,tropical,coral_reef,,benthic,na,na,western_indo_pacific,community_composition,habitat_formation,no_effect,inside/outside study,Seychelles (multiple sites),"-4.493383151840551, 55.593557213680796",-4.493383152,55.59355721,"""reserve effects were absent for the reef benthods""",
"Hammerton, Zan, Daniel Bucher, and Andrew Page. ""The influence of protection and temperature on subtropical reef fish assemblages in Cape Byron Marine Park."" Aquatic Conservation: Marine and Freshwater Ecosystems 29.10 (2019): 1623-1635.",assemblage,subtropical,coral_reef,,target_fish,na,na,temperate_autralasia,abundance,mortality,positive_ecosystem,before/after study,Cape Byron Marine Park,"-28.534518425436165, 153.5472298767736",-28.53451843,153.5472299,,
"Harding, S. I. M. O. N., and B. E. M. A. H. A. F. A. L. Y. Randriamanantsoa. ""Coral reef monitoring in marine reserves of northern Madagascar."" Ten years after bleaching–facing the consequences of climate change in the Indian Ocean. CORDIO Status Report (2008): 93-106.",assemblage,tropical,coral_reef,,benthic,na,na,western_indo_pacific,community_composition,habitat_formation,no_effect,inside/outside study,"Masoala, Sahamalaza, and Mananara National Marine Parks (Madagascar) ","-14.051884689213642, 50.43101664164953",-14.05188469,50.43101664,,
"Harding, S. I. M. O. N., and B. E. M. A. H. A. F. A. L. Y. Randriamanantsoa. ""Coral reef monitoring in marine reserves of northern Madagascar."" Ten years after bleaching–facing the consequences of climate change in the Indian Ocean. CORDIO Status Report (2008): 93-106.",assemblage,tropical,coral_reef,,all_fish,na,na,western_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Masoala, Sahamalaza, and Mananara National Marine Parks (Madagascar) ","-14.051884689213642, 50.43101664164953",-14.05188469,50.43101664,,
"Harding, S. I. M. O. N., and B. E. M. A. H. A. F. A. L. Y. Randriamanantsoa. ""Coral reef monitoring in marine reserves of northern Madagascar."" Ten years after bleaching–facing the consequences of climate change in the Indian Ocean. CORDIO Status Report (2008): 93-106.",assemblage,tropical,coral_reef,,macroinvertebrates,na,na,western_indo_pacific,density,mortality,no_effect,inside/outside study,"Masoala, Sahamalaza, and Mananara National Marine Parks (Madagascar) ","-14.051884689213642, 50.43101664164953",-14.05188469,50.43101664,,
"Harris, Alasdair, et al. ""Scleractinian coral communities of the inner Seychelles 10 years after the 1998 mortality event."" Aquatic Conservation: Marine and Freshwater Ecosystems 24.5 (2014): 667-679.",assemblage,tropical,coral_reef,,adult_coral,na,na,western_indo_pacific,community_composition,habitat_formation,no_effect,inside/outside study,Seychelles (multiple sites),"-4.493383151840551, 55.593557213680796",-4.493383152,55.59355721,,"The limited recovery within Seychelles MPAs is partially due to past zonation of protected areas around reefs previously characterized by prolific growth of thermally intolerant and/or branching coral taxa. These corals have generally shown higher susceptibility to bleaching-related mortality than more tolerant massive and encrusting colonies, consequently experiencing the greatest declines following disturbance events"
"Harris, Alasdair, et al. ""Scleractinian coral communities of the inner Seychelles 10 years after the 1998 mortality event."" Aquatic Conservation: Marine and Freshwater Ecosystems 24.5 (2014): 667-679.",assemblage,tropical,coral_reef,,juvenille_coral,na,na,western_indo_pacific,community_composition,habitat_formation,no_effect,inside/outside study,Seychelles (multiple sites),"-4.493383151840551, 55.593557213680796",-4.493383152,55.59355721,,
"Hereu, Bernat, et al. ""Multiple processes regulate long-term population dynamics of sea urchins on Mediterranean rocky reefs."" PloS one 7.5 (2012): e36901.",assemblage,temperate,rocky_reef,,herbivorous_sea_urchin,"Paracentrotus lividus, Arbacia lixula",sea urchin,temperate_northern_atlantic,abundance,habitat_formation,no_effect,inside/outside study,Medes Islands Marine Reserve,"42.044761308889875, 3.221460246534097",42.04476131,3.221460247,,
"Hereu, Bernat, et al. ""Multiple processes regulate long-term population dynamics of sea urchins on Mediterranean rocky reefs."" PloS one 7.5 (2012): e36901.",assemblage,temperate,rocky_reef,,herbivorous_sea_urchin,"Paracentrotus lividus, Arbacia lixula",sea urchin,temperate_northern_atlantic,size_structure,habitat_formation,no_effect,inside/outside study,Medes Islands Marine Reserve,"42.044761308889875, 3.221460246534097",42.04476131,3.221460247,,
"Hereu, Bernat, et al. ""Multiple processes regulate long-term population dynamics of sea urchins on Mediterranean rocky reefs."" PloS one 7.5 (2012): e36901.",assemblage,temperate,rocky_reef,,herbivorous_sea_urchin,"Paracentrotus lividus, Arbacia lixula",sea urchin,temperate_northern_atlantic,recruitment,reproduction,not_assessed,inside/outside study,Medes Islands Marine Reserve,"42.044761308889875, 3.221460246534097",42.04476131,3.221460247,"Recruitment inside the MPA was density-dependent, but doesn't say if it was better or worse insie/outside. Maybe since urchins can lead to barrens, density-dependent is good?",measured using a ratio of juvenille_abundance to adult_abundance
"Hereu, Bernat, et al. ""Multiple processes regulate long-term population dynamics of sea urchins on Mediterranean rocky reefs."" PloS one 7.5 (2012): e36901.",assemblage,temperate,rocky_reef,,herbivorous_sea_urchin,"Paracentrotus lividus, Arbacia lixula",sea urchin,temperate_northern_atlantic,density,habitat_formation,positive_ecosystem,inside/outside study,Medes Islands Marine Reserve,"42.044761308889875, 3.221460246534097",42.04476131,3.221460247,"""Fisher’s F-test showed higher variability in P. lividus density in boulder substrates outside the reserve compared to both the boulder and vertical wall habitats inside the reserve (Table 2).""",
"Johnson, Jack V., Jaimie TA Dick, and Daniel Pincheira-Donoso. ""Marine protected areas do not buffer corals from bleaching under global warming."" BMC ecology and evolution 22.1 (2022): 58",assemblage,tropical,coral_reef,,coral,na,na,global,coral_bleaching,habitat_formation,no_effect,inside/outside study,Global,NA,NA,,"""However, weak evidence for moderation under the interaction of DHW with MPA size, and MPA age, in comparison to the sole predictor of DHW does exist (Fig. 2).""",
"Ling, S. D., and C. R. Johnson. ""Marine reserves reduce risk of climate‐driven phase shift by reinstating size‐and habitat‐specific trophic interactions."" Ecological Applications 22.4 (2012): 1232-1245.",community,temperate,kelp_forest,,na,Centrostephanus rodgersii,sea urchin,temperate_autralasia,survival,movement_range,positive_ecosystem,inside/outside study,Tasmania (multiple sites),"-42.66501209181621, 148.05414684990265",-42.66501209,148.0541468,"""Results show that survival rates of C. rodgersii exposed on flat reef substratum by tethering were approximately seven times (small urchins 10.1 times; large urchins 6.1 times) lower on protected reef within marine reserve boundaries (high abundance of large predatorycapable lobsters) compared to fished reef (large predatory lobsters absent).","This shows that ecosystem impacts mediated by range extension of such habitat-modifying organisms will be heterogeneous in space, and that marine systems with a more natural complement of large and thus functional predators, as achievable within no-take reserves, will minimize local risk of phase shifts by reinstating size and habitat-specific predator–prey dynamics eroded by fishing."
"Ling, S. D., and C. R. Johnson. ""Marine reserves reduce risk of climate‐driven phase shift by reinstating size‐and habitat‐specific trophic interactions."" Ecological Applications 22.4 (2012): 1232-1245.",community,temperate,kelp_forest,,na,Jasus edwardsii,large spiny lobsters,temperate_autralasia,abundance,body_size,positive_ecosystem,inside/outside study,Tasmania (multiple sites),"-42.66501209181621, 148.05414684990265",-42.66501209,148.0541468,,
"Ling, S. D., and C. R. Johnson. ""Marine reserves reduce risk of climate‐driven phase shift by reinstating size‐and habitat‐specific trophic interactions."" Ecological Applications 22.4 (2012): 1232-1245.",community,temperate,kelp_forest,,na,Notolabrus tetricus,large wrasse,temperate_autralasia,abundance,mortality,no_effect,inside/outside study,Tasmania (multiple sites),"-42.66501209181621, 148.05414684990265",-42.66501209,148.0541468,,
"Ling, S. D., and C. R. Johnson. ""Marine reserves reduce risk of climate‐driven phase shift by reinstating size‐and habitat‐specific trophic interactions."" Ecological Applications 22.4 (2012): 1232-1245.",community,temperate,kelp_forest,,demersal_carnivorous-omnivorous_fishes,na,na,temperate_autralasia,abundance,mortality,no_effect,inside/outside study,Tasmania (multiple sites),"-42.66501209181621, 148.05414684990265",-42.66501209,148.0541468,,
"Ling, S. D., et al. ""Overfishing reduces resilience of kelp beds to climate-driven catastrophic phase shift."" Proceedings of the National Academy of Sciences 106.52 (2009): 22341-22345.",community,temperate,kelp_forest,,na,Centrostephanus rodgersii,sea urchin,temperate_autralasia,survival,movement_range,positive_ecosystem,inside/outside study,Tasmania (multiple sites),"-42.66501209181621, 148.05414684990265",-42.66501209,148.0541468,,
"Ling, S. D., et al. ""Overfishing reduces resilience of kelp beds to climate-driven catastrophic phase shift."" Proceedings of the National Academy of Sciences 106.52 (2009): 22341-22345.",community,temperate,kelp_forest,,na,Jasus edwardsii,large spiny lobsters,temperate_autralasia,predation_strength,movement_range,positive_ecosystem,inside/outside study,Tasmania (multiple sites),"-42.66501209181621, 148.05414684990265",-42.66501209,148.0541468,,
"Lowe, Jake R., et al. ""Responses of coral reef wrasse assemblages to disturbance and marine reserve protection on the Great Barrier Reef."" Marine Biology 166.9 (2019): 119.",assemblage,tropical,coral_reef,,wrasse,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,Great Barrier Reef (multiple sites),"-20.20996841357624, 148.92710298054297",-20.20996841,148.927103,,
"Magdaong, Evangeline T., et al. ""Long-term change in coral cover and the effectiveness of marine protected areas in the Philippines: a meta-analysis."" Hydrobiologia 733 (2014): 5-17.",assemblage,tropical,coral_reef,,coral,na,na,central_indo_pacific,coral_cover,habitat_formation,positive_ecosystem,meta-analysis,Philippines (multiple sites),"8.990466676901853, 123.45807924322239",8.990466677,123.4580792,,
"Manfrino, Carrie, et al. ""A positive trajectory for corals at Little Cayman Island."" PLoS One 8.10 (2013): e75432.",assemblage,tropical,coral_reef,,coral,na,na,tropical_atlantic,coral_cover,habitat_formation,no_effect,inside/outside study,Little Cayman Island,"19.685657086385277, -80.08191207432714",19.68565709,-80.08191207,,the islands are remote and have minimal stress from human activity
